,,,Setup,Labour,Grand Total (Minutes),(Hrs),,,,,,,,,,,,,,,
,PCBs PER PANEL / PALLET,L,,,0,,"If boards not in panel during selective solder, enter number of boards per pallet.",,,,,,,,,,,,,,
,RUN PER PCB,SS / R / L,,0,0,,,,,,,,,,,,,,,,
,WAVE SOLDER,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,SET UP / CONVERSION TIME,30,,,30,,,,,,,,,,,,,,,,
,SETUP PER PCB,30/BATCH SIZE,0,,0,,,,,,,,,,,,,,,,
,NUMBER OF CARRIERS,"0 = No Wave, 5 = Wave",,,0,,,,,,,,,,,,,,,,
x,CYCLE TIME OF MACHINE,WS,,,6,,,,,,,,,,,,,,,,
,PCBs PER PANEL / PALLET,L,,,0,,"If boards not in panel during wave solder, enter number of boards per pallet.",,,,,,,,,,,,,,
,RUN PER PCB,WS / R / L,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,WAVE TOUCH UP,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,No. PTH LEADS,PTHW,,,0,,,,,,,,,,,,,,,,
,ARE B/S SMT COMPONENTS WAVE SOLDERED (e.g. glue)?  OR NOT (e.g. selective pallet),,,,PTH COMPONENTS ONLY (or selective pallet),,,,,Select Cell & Select from drop down menu,,,,,,,,,,,
,SUITABILITY TO TH SOLDERING PROCESS (DFM) EVALUATION,,,,SUITABLE FOR WAVE/SELECTIVE,,,,,Select Cell & Select from drop down menu,,,,,,,,,,,
x,,,,,0,,,,,,,,,,,,,,,,
x,,,,,1,,,,,,,,,,,,,,,,
x,No. B/S SMT COMPONENTS (x2 solder joints),(H + I) x2,,,0,,,,,,,,,,,,,,,,
x,AVE TIME PER TOUCH UP,0.2,,,0.2,,,,,,,,,,,,,,,,
x,PERCENTAGE OF TOUCH UP Class 2,0.1,,,0.1,,,,,,,,,,,,,,,,
x,PERCENTAGE OF TOUCH UP Class 3,0.2,,,0.2,,,,,,,,,,,,,,,,
,RUN PER PCB (Class 2),,,0,0,,,,,,,,,,,,,,,,
,RUN PER PCB (Class 3),,,0,0,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,
,WAVE INSPECTION,,,,,,,,,,,,,,,,,,,,
